id,mathematics_interest,physics_interest,chemistry_interest,biology_interest,computer_interest,accountancy_interest,economics_interest,business_interest,history_political_science_interest,psychology_interest,logical_reasoning,numerical_ability,scientific_interest,problem_solving,communication,leadership,creativity,empathy,research_interest,public_speaking,technology_interest,medical_healthcare_interest,business_finance_interest,social_issues_interest,government_public_service_interest,law_debate_interest,teaching_interest,long_study_willingness,stress_tolerance,risk_tolerance,teamwork,people_interaction,career_choice
608,6,3,1,1,5,8,6,7,1,4,10,9,1,5,4,6,3,3,3,2,5,1,9,3,6,3,5,9,6,3,8,3,CA / Accounting
609,10,4,2,1,4,8,6,8,5,3,6,8,1,9,7,4,2,6,5,6,4,4,8,4,1,4,4,7,8,3,6,5,CA / Accounting
610,5,5,8,9,3,2,4,5,2,6,6,5,7,8,8,5,7,5,7,2,5,10,3,5,4,4,8,10,6,4,5,6,MBBS / Doctor
611,8,8,4,4,10,6,6,4,5,6,5,10,6,8,5,6,5,4,7,5,9,3,5,6,5,5,6,8,10,8,7,5,Engineering
612,4,4,5,8,8,1,3,7,9,7,7,6,6,5,10,5,8,8,9,7,4,2,3,6,3,4,10,10,7,5,8,8,Teaching / Professor
613,3,1,3,1,6,2,8,7,10,4,10,2,3,6,8,8,6,5,7,9,5,3,3,9,8,9,6,8,9,10,9,7,Law
614,1,2,2,1,4,1,6,1,6,5,6,4,1,3,8,5,10,7,6,9,3,2,1,6,6,10,8,5,3,6,8,9,Journalism / Media
615,8,7,7,5,7,3,3,5,4,4,10,6,8,10,8,6,6,3,6,4,8,3,4,5,2,3,5,7,10,7,5,7,Engineering
616,6,6,4,5,4,3,4,4,7,4,10,7,3,7,6,7,5,9,9,7,5,1,2,5,2,7,9,10,6,2,7,9,Teaching / Professor
617,5,5,6,8,8,1,6,3,6,8,6,5,9,10,10,4,5,8,9,9,4,4,5,6,4,6,10,8,7,4,6,8,Teaching / Professor
618,8,3,4,1,6,6,7,4,5,5,8,9,2,9,7,6,7,2,2,5,6,1,9,4,5,2,3,7,8,8,6,7,Finance / Banking
619,4,5,7,10,2,2,3,2,2,6,7,2,5,6,6,6,3,7,3,2,3,8,1,4,1,2,5,6,7,1,6,8,MBBS / Doctor
620,4,3,4,4,7,3,5,4,9,5,9,8,1,7,9,6,9,5,6,9,3,3,7,9,6,10,2,7,5,6,8,7,Law
621,4,1,4,3,6,6,7,9,3,6,7,3,6,9,10,10,9,7,6,6,4,2,9,4,5,6,5,4,8,7,10,10,Business / Management
622,5,4,7,3,4,1,1,3,4,6,6,4,7,5,8,6,8,6,10,6,5,1,3,4,7,4,8,6,2,3,5,8,Teaching / Professor
623,8,5,10,8,5,5,2,5,4,5,6,2,10,9,7,6,6,9,6,7,6,9,4,4,3,3,7,9,10,5,8,8,MBBS / Doctor
624,7,10,5,5,9,5,4,3,2,7,9,8,10,9,4,6,6,4,6,4,7,6,4,4,5,5,5,8,7,7,8,6,Engineering
625,3,3,5,3,4,2,10,10,5,7,8,6,3,10,7,8,8,6,5,8,6,3,8,4,6,5,7,4,8,7,7,10,Business / Management
626,8,7,4,5,9,2,3,5,4,2,7,7,5,8,3,7,8,4,6,1,6,2,2,5,6,2,3,7,9,4,7,8,Engineering
627,7,5,10,10,6,5,7,4,4,8,6,4,10,10,7,10,4,10,6,9,6,10,1,9,5,5,7,9,6,5,9,9,MBBS / Doctor
628,3,2,2,4,4,4,3,3,7,8,5,1,5,7,9,5,8,7,5,4,4,5,6,10,5,1,7,8,6,1,5,7,Psychology
629,6,4,8,10,8,4,2,2,7,6,5,4,10,9,9,7,5,6,6,6,4,10,2,3,5,5,9,7,10,5,8,10,MBBS / Doctor
630,5,5,8,6,5,2,2,2,1,5,10,5,10,6,5,3,5,3,6,3,5,9,4,4,5,1,6,8,5,5,7,5,Pharmacy
631,9,3,2,2,5,6,7,9,5,2,9,7,5,8,6,7,7,2,7,3,9,3,8,3,5,6,5,7,6,7,7,4,Finance / Banking
632,6,5,7,7,8,1,3,5,4,5,8,3,10,8,7,4,4,8,9,6,6,9,6,4,7,3,5,9,8,5,4,8,MBBS / Doctor
633,5,6,4,7,3,3,3,6,4,4,8,3,4,7,8,5,6,10,5,7,5,4,1,4,3,3,9,9,7,1,6,7,Teaching / Professor
634,4,3,4,3,6,5,6,3,7,6,6,5,3,5,9,5,8,8,5,9,6,2,5,9,7,6,5,4,7,5,9,9,Journalism / Media
635,2,3,3,7,1,4,1,4,4,7,7,3,8,8,7,5,7,10,4,4,6,4,3,9,3,5,4,8,9,3,8,10,Psychology
636,1,5,3,2,5,4,5,4,7,6,6,3,3,5,7,7,5,6,5,6,3,2,4,8,9,4,3,9,7,5,7,6,Civil Services
637,4,3,3,6,2,2,4,5,5,6,7,5,5,6,10,5,9,8,7,9,8,6,2,9,3,3,6,10,6,3,7,8,Psychology
638,6,4,5,3,8,5,1,5,6,6,7,6,5,4,7,5,7,7,6,7,6,2,4,6,3,3,10,6,7,3,7,6,Teaching / Professor
639,4,5,3,5,7,2,5,3,6,10,8,4,5,6,10,8,8,8,10,4,5,6,7,9,5,4,10,10,3,5,9,10,Psychology
640,5,1,2,5,2,1,2,4,5,7,3,4,6,7,6,7,6,9,6,6,2,4,5,6,6,3,10,9,6,2,6,10,Psychology
641,6,6,3,1,4,8,9,4,1,5,10,8,2,7,5,8,4,3,4,5,4,2,9,2,3,4,3,10,7,4,7,5,CA / Accounting
642,7,9,7,5,8,2,4,3,3,5,8,8,8,7,4,6,6,4,9,3,10,4,5,6,5,6,3,7,6,4,6,9,Engineering
643,5,2,3,3,4,1,6,6,4,4,5,3,5,6,10,8,8,5,4,8,8,1,8,5,3,7,7,6,6,5,9,10,Business / Management
644,5,7,5,4,5,2,2,2,5,3,5,3,5,7,7,6,8,6,7,9,8,5,2,5,5,6,10,5,4,5,8,8,Teaching / Professor
645,6,6,7,9,8,3,1,3,4,5,9,4,7,7,8,4,5,9,4,4,3,8,2,4,3,3,8,9,10,3,7,8,MBBS / Doctor
646,7,5,8,4,6,3,7,5,10,7,10,5,5,8,7,8,7,8,3,10,7,3,4,6,10,7,4,10,10,4,8,9,Civil Services
647,7,4,7,8,4,1,3,6,4,5,10,4,7,6,9,4,9,3,5,2,6,10,2,3,1,4,4,9,6,6,9,8,Dentist
648,3,4,5,6,3,1,4,4,2,4,6,7,10,9,7,4,7,8,3,2,5,9,4,1,2,2,4,7,6,5,4,9,Dentist
649,5,1,10,10,5,1,2,2,2,2,6,10,9,6,3,4,6,5,8,6,6,8,2,2,4,4,2,9,8,1,6,6,Pharmacy
650,5,6,3,6,5,1,1,6,7,7,9,7,8,5,8,10,8,3,8,7,4,5,2,6,3,5,10,9,6,4,10,9,Teaching / Professor
651,6,6,7,5,9,3,6,2,5,4,9,8,6,6,5,7,8,3,5,4,8,1,2,3,4,2,5,8,5,6,8,5,Engineering
652,2,2,1,8,4,5,5,4,4,8,8,8,4,9,10,8,7,10,8,7,7,7,4,8,5,4,9,7,6,7,7,6,Psychology
653,6,4,4,3,6,4,7,3,10,7,9,5,4,7,10,10,7,6,6,6,6,2,5,9,10,10,6,7,9,2,8,10,Civil Services
654,4,6,8,7,4,4,4,2,7,6,6,2,9,7,5,6,6,9,6,5,4,9,3,5,5,1,3,8,4,5,7,3,Pharmacy
655,4,4,2,9,6,1,3,5,3,6,9,7,6,7,8,6,6,3,3,7,6,9,1,4,5,1,5,9,8,3,9,9,MBBS / Doctor
656,4,6,5,3,5,7,9,10,5,4,7,8,4,8,10,9,8,4,6,6,5,2,8,3,2,6,5,5,7,10,10,9,Business / Management
657,8,5,8,4,8,5,6,3,3,5,7,4,7,6,8,6,6,4,3,3,10,6,5,4,3,2,8,6,10,8,4,5,Engineering
658,3,4,5,5,5,1,5,9,7,5,6,9,5,6,8,10,8,7,2,5,6,2,7,6,7,4,4,5,9,9,8,10,Business / Management
659,10,5,2,2,6,7,10,8,5,5,6,9,5,9,6,6,5,3,6,6,7,1,10,7,4,3,4,8,7,5,9,8,Finance / Banking
660,9,5,2,3,7,9,8,7,3,5,10,10,4,8,5,5,6,6,5,5,7,4,10,3,5,1,3,4,6,5,4,8,Finance / Banking
661,5,7,6,8,6,3,3,3,2,6,7,6,8,9,7,6,4,10,7,3,3,10,3,5,5,4,9,10,9,4,6,9,MBBS / Doctor
662,6,1,1,2,7,6,8,7,2,4,7,7,4,8,3,5,3,4,3,5,2,1,8,3,1,6,1,8,6,3,6,7,CA / Accounting
663,7,10,7,3,9,4,5,3,3,6,6,6,8,8,5,6,5,6,6,5,10,3,3,2,5,4,5,6,7,8,8,9,Engineering
664,4,5,7,10,7,1,5,4,4,8,7,3,4,7,7,7,7,8,5,5,6,10,4,3,4,5,7,7,10,5,8,7,MBBS / Doctor
665,6,6,10,10,2,3,6,3,5,7,10,4,8,10,9,8,7,9,8,7,6,10,3,5,6,2,8,9,9,5,10,10,MBBS / Doctor
666,3,6,6,10,6,3,5,6,6,4,6,4,10,8,7,6,6,9,5,5,3,6,3,6,5,6,4,6,7,2,7,9,MBBS / Doctor
667,5,4,7,10,3,3,2,6,3,5,6,7,9,6,9,5,7,10,7,4,4,8,2,3,4,1,4,7,8,5,6,8,Dentist
668,7,7,4,2,6,2,5,6,4,6,6,7,8,9,4,7,6,4,7,5,8,2,2,4,5,4,6,7,6,4,6,5,Engineering
669,4,4,4,6,6,1,5,3,5,6,6,5,5,8,5,6,4,8,5,9,4,5,1,5,4,4,6,8,3,3,7,6,Teaching / Professor
670,7,5,4,3,7,5,7,10,5,6,6,8,3,9,8,10,10,6,7,7,9,2,8,4,4,5,7,5,10,6,9,9,Business / Management
671,1,1,1,4,2,1,3,4,7,4,4,4,2,5,8,3,9,6,2,7,5,1,1,8,3,7,4,5,4,8,7,6,Journalism / Media
672,8,8,1,2,9,5,6,5,7,6,8,10,6,7,6,5,7,6,7,5,9,1,2,4,3,4,7,7,5,6,10,8,Engineering
673,4,3,7,9,5,1,4,3,5,8,5,5,10,8,5,7,4,8,5,6,4,10,2,4,5,2,9,9,7,4,8,9,MBBS / Doctor
674,6,4,3,6,5,4,3,4,6,7,4,4,8,7,7,7,6,6,10,7,3,3,2,3,5,7,10,8,6,3,9,5,Teaching / Professor
675,3,6,5,5,7,5,8,6,8,6,8,7,6,9,10,10,7,8,5,8,4,2,4,7,10,7,5,10,10,4,9,8,Civil Services
676,8,6,5,5,9,3,2,7,2,6,9,8,6,8,5,6,6,2,8,5,8,2,4,3,1,4,5,6,5,6,5,4,Engineering
677,6,6,8,6,4,1,5,4,8,5,6,4,9,9,7,6,6,5,7,9,6,3,2,5,5,7,9,7,5,6,10,8,Teaching / Professor
678,5,3,3,7,6,2,4,3,6,10,6,7,4,8,9,5,8,10,9,8,4,8,5,8,4,4,9,7,6,4,6,9,Psychology
679,9,2,5,3,6,9,6,6,4,3,7,10,4,6,8,8,4,2,3,3,8,3,8,6,5,6,4,6,5,4,7,7,CA / Accounting
680,9,4,1,2,4,9,5,4,3,7,5,9,3,7,7,4,4,3,6,5,4,2,10,1,5,3,2,8,8,4,7,7,Finance / Banking
681,9,3,2,4,8,9,8,10,4,6,8,8,5,8,8,6,6,4,8,6,8,3,10,5,7,4,5,6,4,8,10,8,Finance / Banking
682,4,2,3,8,2,5,6,2,4,6,4,2,4,7,7,5,9,10,7,9,3,5,3,8,4,3,7,8,4,2,6,7,Psychology
683,5,5,1,1,4,2,5,6,9,5,5,5,2,7,10,6,7,10,7,8,9,1,7,8,4,5,5,7,7,9,8,10,Journalism / Media
684,5,8,7,9,3,3,2,3,3,5,6,5,8,9,8,7,7,8,3,5,5,7,3,3,3,3,5,7,9,8,7,8,Dentist
685,5,2,8,9,5,4,3,4,3,4,8,4,8,5,4,5,3,4,6,4,6,10,1,4,3,2,5,5,5,1,8,6,Pharmacy
686,7,4,4,5,5,2,7,9,10,8,8,4,5,7,10,10,10,6,7,10,3,3,2,7,8,8,8,10,7,5,8,8,Civil Services
687,5,4,2,4,5,4,8,10,5,5,7,8,5,8,8,7,9,5,5,6,8,3,6,5,7,2,5,5,10,9,9,10,Business / Management
688,2,2,3,3,4,2,6,1,7,6,6,4,3,8,10,8,10,6,5,8,8,2,4,9,5,8,5,8,8,7,8,5,Journalism / Media
689,4,5,1,3,5,4,8,7,6,8,8,6,6,6,10,7,10,5,5,4,6,1,5,6,2,4,3,7,9,9,7,10,Business / Management
690,7,6,2,3,8,6,6,8,5,3,8,8,4,6,10,10,9,4,3,8,9,2,7,3,3,5,6,3,10,8,10,10,Business / Management
691,6,5,7,6,6,3,4,4,6,7,8,8,6,6,9,7,9,6,8,10,7,6,3,3,5,6,9,9,7,2,9,6,Teaching / Professor
692,7,9,6,1,9,5,4,4,1,2,9,7,5,9,5,5,8,3,5,5,10,5,3,6,3,6,3,9,6,9,8,4,Engineering
693,8,4,3,4,6,4,6,4,9,5,5,5,5,7,8,9,6,10,8,10,7,3,3,6,4,7,9,6,6,3,7,8,Teaching / Professor
694,5,5,9,9,8,5,6,6,4,7,7,7,9,9,10,7,5,8,9,7,7,10,1,4,5,5,6,8,8,7,6,5,MBBS / Doctor
695,3,2,1,2,3,3,3,3,7,8,6,2,5,6,8,6,9,7,5,9,6,4,4,7,5,7,4,3,6,6,9,8,Journalism / Media
696,5,3,2,3,5,3,6,6,2,3,9,6,5,8,8,10,8,8,4,8,8,1,7,2,3,4,4,5,8,6,10,9,Business / Management
697,6,5,3,3,4,6,7,4,10,8,10,6,4,7,8,7,8,10,9,6,5,4,4,10,9,8,5,9,8,4,8,9,Civil Services
698,5,1,4,4,6,4,5,9,5,8,5,5,3,9,10,10,9,7,5,8,7,4,10,5,4,5,5,6,7,10,10,10,Business / Management
699,6,3,5,6,5,3,9,5,10,7,8,5,1,8,9,8,3,5,5,6,5,4,6,8,10,8,5,8,8,5,6,7,Civil Services
700,5,5,4,6,5,3,7,5,9,4,7,6,6,7,10,6,6,6,6,6,6,2,3,10,6,8,3,10,8,5,8,7,Civil Services
701,3,3,6,4,6,3,4,3,5,8,9,4,5,10,8,4,8,10,7,7,4,6,5,7,4,5,7,6,4,1,5,7,Psychology
702,6,1,1,1,5,6,5,6,5,3,7,10,2,10,7,6,4,6,4,4,9,1,8,3,1,5,4,8,6,6,6,7,Finance / Banking
703,9,5,4,6,10,6,5,5,5,6,8,9,8,9,4,5,6,3,4,4,8,3,5,5,3,2,6,7,6,6,6,5,Engineering
704,10,5,4,3,8,7,9,7,3,5,7,10,3,8,6,5,7,5,9,7,8,3,10,3,3,3,7,8,9,9,8,7,Finance / Banking
705,3,1,2,5,6,2,7,5,6,6,8,6,3,10,10,7,7,8,6,10,6,1,6,9,7,10,6,10,8,5,7,8,Law
706,2,2,9,8,5,3,5,4,1,3,8,5,8,4,4,7,5,6,6,1,4,8,1,3,3,1,5,5,7,2,4,3,Pharmacy
707,3,3,1,3,3,2,3,2,6,9,6,2,6,6,9,4,7,10,8,7,4,4,2,7,5,6,7,7,5,2,8,8,Psychology
708,8,7,6,10,4,3,5,5,5,7,10,3,7,10,6,7,8,9,5,4,7,9,3,3,4,2,7,9,8,2,8,9,Dentist
709,7,3,5,10,4,2,3,5,6,5,7,5,9,8,8,5,8,6,7,3,8,9,3,6,2,4,3,8,6,4,9,8,Dentist
710,6,5,5,6,4,1,4,3,3,5,4,4,5,9,10,8,7,9,5,6,3,9,3,4,2,2,4,6,8,3,7,4,Dentist
711,5,8,5,4,8,3,5,3,8,7,9,4,8,8,8,6,7,8,8,10,3,5,1,10,7,6,10,9,6,3,8,5,Teaching / Professor
712,4,2,4,4,4,4,3,2,10,7,7,5,3,10,9,7,6,7,6,6,4,1,6,9,7,6,4,8,9,5,10,9,Civil Services
713,5,4,4,2,8,7,10,10,5,8,8,6,5,10,10,10,9,7,6,8,9,3,6,6,6,5,6,8,8,8,8,9,Business / Management
714,6,4,5,9,3,2,4,3,2,5,8,3,7,10,7,6,7,8,4,6,4,10,4,3,1,1,3,8,7,3,7,9,Dentist
715,7,4,2,5,3,8,6,7,2,2,7,7,4,8,4,7,3,3,5,4,4,3,9,7,5,7,3,6,9,5,9,8,CA / Accounting
716,2,5,9,6,7,2,3,5,3,3,3,1,10,7,5,5,4,6,5,3,6,6,7,1,3,2,6,6,4,4,5,6,Pharmacy
717,10,9,6,2,7,5,10,6,6,5,7,9,6,7,4,7,7,5,7,3,8,3,2,4,2,5,6,5,7,9,6,7,Engineering
718,9,9,7,4,8,2,2,2,3,4,10,9,6,9,5,7,8,6,5,6,6,5,4,4,1,3,7,6,8,6,8,6,Engineering
719,6,4,4,4,6,2,7,4,6,5,8,3,7,7,10,6,6,9,8,6,8,2,2,6,5,6,7,8,5,4,9,7,Teaching / Professor
720,4,8,8,9,4,4,6,2,2,6,8,6,10,7,8,8,7,7,6,5,8,8,2,6,3,4,4,9,8,5,7,8,MBBS / Doctor
721,5,3,3,2,6,6,7,10,5,3,6,5,5,8,8,10,5,5,3,7,7,2,5,5,4,2,4,6,9,6,9,6,Business / Management
722,7,3,2,3,5,7,6,7,4,5,8,9,3,8,4,6,6,4,3,2,8,2,7,2,2,2,5,7,6,6,6,6,CA / Accounting
723,4,5,5,5,4,7,9,3,6,5,8,6,6,8,8,6,5,8,6,6,4,3,3,8,9,10,7,4,9,4,7,8,Civil Services
724,4,6,2,5,6,6,6,8,5,7,9,5,3,7,7,10,10,5,7,9,5,2,5,5,4,5,3,4,8,9,6,7,Business / Management
725,10,5,5,2,8,2,6,5,2,4,8,9,10,9,4,6,7,4,7,2,9,3,4,6,2,4,6,7,5,8,7,5,Engineering
726,5,4,5,9,4,3,1,3,5,6,8,6,9,9,7,7,5,10,7,3,6,7,3,6,3,2,6,7,6,3,9,6,MBBS / Doctor
727,3,4,3,7,6,3,4,3,6,8,7,5,7,8,8,4,9,10,6,9,4,7,1,6,6,5,10,10,4,2,6,6,Psychology
728,8,3,5,4,6,6,6,10,4,5,7,7,7,10,10,9,10,7,6,10,6,7,8,4,4,6,5,4,9,8,10,8,Business / Management
729,4,4,5,5,5,4,8,2,9,7,10,4,2,8,7,7,6,5,5,8,2,1,5,8,10,6,5,8,8,4,7,8,Civil Services
730,7,10,7,4,10,3,8,7,3,6,10,10,7,10,7,5,8,6,6,6,10,4,4,5,5,5,7,8,6,6,8,8,Engineering
731,2,3,4,4,5,2,4,5,9,5,9,5,2,6,10,6,7,8,7,7,4,5,5,10,3,9,3,8,5,4,6,8,Law
732,1,1,2,3,5,2,4,4,7,3,5,3,3,10,9,8,9,5,6,8,4,2,2,8,6,6,5,7,7,6,7,7,Journalism / Media
733,5,5,7,6,4,2,1,3,1,3,4,6,8,9,7,5,4,5,4,1,7,7,3,3,3,1,7,8,9,3,6,7,Dentist
734,6,5,9,6,5,3,3,4,1,5,6,6,10,8,5,3,5,5,9,5,6,7,4,4,1,1,3,6,7,5,6,5,Pharmacy
735,6,3,9,7,6,6,5,6,4,7,4,6,10,7,7,4,7,6,8,3,5,10,5,3,4,4,5,8,9,4,8,7,Pharmacy
736,6,4,2,1,6,7,8,8,1,6,10,8,3,7,6,10,5,6,7,7,9,1,10,4,7,3,3,7,8,4,7,5,Finance / Banking
737,8,9,6,5,9,3,2,4,3,2,10,10,9,8,7,5,7,3,7,5,6,3,3,7,5,3,5,7,6,4,6,4,Engineering
738,7,3,3,1,6,3,6,9,5,3,8,6,6,10,10,7,8,4,6,9,8,2,8,4,4,5,2,5,10,8,9,8,Business / Management
739,3,3,8,10,7,3,7,3,6,4,3,5,9,9,8,7,8,9,6,2,4,10,2,6,6,4,7,8,10,3,10,9,MBBS / Doctor
740,7,5,6,4,3,4,7,4,4,10,8,5,8,9,8,7,6,9,9,4,3,6,2,8,3,4,6,10,6,6,4,9,Psychology
741,3,2,7,9,4,1,2,3,2,2,7,2,6,8,5,5,7,4,4,5,7,7,2,6,1,2,5,6,8,6,6,9,Dentist
742,6,7,6,10,4,5,2,3,5,3,7,5,9,7,7,7,9,6,4,3,5,9,2,5,2,4,5,6,6,3,7,9,Dentist
743,5,5,8,9,5,2,1,3,4,5,3,5,7,6,5,3,5,10,5,6,5,9,2,5,2,3,7,9,8,4,7,7,MBBS / Doctor
744,6,3,3,2,6,6,8,7,5,8,7,6,2,7,9,10,8,10,5,6,9,2,8,4,2,7,5,9,6,6,8,10,Business / Management
745,7,5,6,2,4,8,8,10,5,8,10,9,5,9,6,7,8,4,5,6,10,2,10,5,4,2,4,6,8,7,6,7,Finance / Banking
746,3,1,2,2,6,4,5,6,10,8,8,5,2,8,9,7,7,6,7,8,5,2,6,9,8,10,5,6,9,6,7,10,Law
747,7,6,4,5,9,1,4,5,6,6,6,9,6,9,6,3,7,5,5,4,5,3,3,2,2,3,3,6,3,7,6,3,Engineering
748,7,1,5,6,3,2,1,4,4,10,6,6,4,10,9,5,9,9,8,6,1,8,3,8,5,3,6,8,7,3,7,6,Psychology
749,4,1,3,3,4,3,4,2,7,8,7,3,3,6,9,7,10,5,3,9,3,2,3,10,5,4,4,5,5,4,9,7,Journalism / Media
750,9,2,4,3,6,9,8,6,3,3,6,9,4,7,5,9,4,5,4,5,6,2,9,3,4,4,5,10,6,5,6,4,CA / Accounting
751,4,1,3,1,5,5,6,7,4,8,3,6,3,7,7,8,8,5,1,8,8,1,7,6,5,6,5,6,9,7,8,5,Business / Management
752,7,6,4,6,4,5,5,4,6,6,7,5,7,9,9,6,6,7,9,8,2,2,1,7,2,6,10,9,3,2,7,7,Teaching / Professor
753,4,3,9,10,4,1,1,5,4,5,5,2,5,7,4,6,8,5,6,4,8,7,2,3,2,3,4,9,7,4,10,7,Dentist
754,7,2,3,1,4,8,7,7,2,2,7,6,1,8,5,5,4,1,2,4,6,1,9,2,2,3,4,5,5,8,6,7,Finance / Banking
755,5,2,7,9,6,2,2,6,6,6,6,6,9,8,7,5,8,6,7,5,5,9,4,5,1,3,4,8,3,5,8,7,Pharmacy
756,3,1,2,6,3,1,2,2,3,9,5,6,5,7,9,4,7,8,7,5,2,4,1,9,3,4,7,3,4,3,8,8,Psychology
757,5,2,5,2,4,2,9,3,9,4,8,6,3,8,8,9,7,7,4,7,6,2,3,8,7,9,7,7,8,3,7,10,Civil Services
758,1,4,3,2,6,2,6,7,6,6,7,6,1,6,8,4,9,6,8,10,6,1,1,9,4,9,6,9,8,8,7,10,Journalism / Media
759,5,1,2,3,6,1,3,6,6,5,8,2,3,8,6,6,8,5,6,9,2,5,5,8,7,9,5,10,5,6,5,10,Law
760,6,5,6,4,4,2,5,6,10,7,6,7,3,7,10,7,6,5,6,9,6,1,4,7,9,8,3,10,6,5,8,7,Civil Services
761,7,2,2,3,3,8,6,6,5,5,7,10,5,5,4,5,4,4,2,4,7,1,9,2,2,6,5,7,8,7,6,3,CA / Accounting
762,5,1,1,2,5,10,6,4,1,1,6,7,2,6,2,6,4,3,3,2,5,2,8,4,4,3,1,10,8,6,5,6,CA / Accounting
763,7,3,3,4,6,7,7,6,4,6,9,8,6,7,8,4,5,3,4,3,7,1,6,3,3,1,5,7,8,9,5,5,Finance / Banking
764,9,5,4,4,8,8,10,7,6,6,9,9,3,8,5,8,5,4,3,4,10,2,10,3,3,4,5,6,7,6,9,10,Finance / Banking
765,2,4,4,6,4,4,4,4,9,10,8,4,7,7,7,8,10,8,8,7,4,8,4,9,4,5,7,8,6,4,5,8,Psychology
766,6,5,8,8,6,2,1,3,2,5,7,4,7,9,5,4,10,8,3,4,3,10,3,5,1,2,7,9,9,5,10,9,Dentist
767,7,7,4,4,4,5,7,3,7,6,7,6,6,6,10,6,7,10,8,8,5,2,3,5,4,2,10,7,9,2,7,8,Teaching / Professor
768,4,1,3,1,7,10,5,5,4,5,7,7,2,7,4,7,3,4,5,3,5,1,7,4,3,4,2,10,8,1,6,4,CA / Accounting
769,5,2,1,5,6,8,8,5,4,2,6,10,2,9,3,7,4,5,4,5,6,2,10,4,4,4,5,10,9,7,7,5,CA / Accounting
770,7,5,9,9,5,1,4,4,6,8,10,5,10,8,9,6,7,7,8,8,4,8,3,6,5,3,6,10,7,6,8,8,MBBS / Doctor
771,5,2,2,3,4,9,8,7,2,2,4,8,4,6,4,5,5,4,5,2,6,1,9,2,4,2,4,5,6,9,6,5,Finance / Banking
772,4,4,5,1,5,3,8,5,7,4,6,3,3,3,9,7,7,8,6,6,6,1,3,7,9,6,5,9,10,4,8,9,Civil Services
773,4,5,3,5,2,2,3,4,6,7,9,7,6,7,7,6,9,6,10,5,6,2,1,8,5,6,8,10,6,5,7,10,Teaching / Professor
774,8,3,1,2,4,8,5,8,2,4,8,8,6,6,4,9,5,4,8,2,6,1,8,2,4,4,4,3,8,6,10,5,Finance / Banking
775,5,1,4,1,9,10,6,7,3,3,7,7,3,5,5,5,7,5,3,5,6,3,10,1,5,4,7,6,8,2,9,6,CA / Accounting
776,3,3,2,3,3,1,4,5,10,6,8,6,3,8,8,8,4,9,7,5,3,4,4,10,7,7,8,9,8,5,10,8,Civil Services
777,6,4,10,9,7,1,1,3,2,4,7,5,7,7,4,4,4,4,8,3,5,7,3,4,4,2,3,7,4,4,6,3,Pharmacy
778,8,7,4,4,9,2,5,3,5,5,6,7,8,6,4,6,10,4,7,5,8,4,3,4,1,4,6,7,8,7,7,5,Engineering
779,9,4,1,4,6,5,9,9,3,4,8,9,4,8,3,5,6,3,5,3,8,2,9,4,2,7,2,10,3,6,5,8,Finance / Banking
780,2,1,4,6,3,3,4,4,5,9,6,4,6,7,7,5,8,10,7,7,1,7,2,6,2,2,10,10,6,4,7,7,Psychology
781,5,6,7,9,6,3,1,5,3,8,5,6,8,8,8,5,8,5,6,7,4,9,5,4,4,3,5,9,5,5,7,10,Dentist
782,7,8,4,4,10,6,4,4,4,6,6,6,8,6,6,7,8,5,7,7,10,3,5,6,7,6,7,7,7,7,8,5,Engineering
783,4,3,3,5,6,3,6,6,9,8,8,6,4,8,8,7,7,7,6,9,6,4,6,10,6,8,5,7,9,2,6,5,Law
784,8,6,1,3,3,8,5,8,3,3,8,9,1,7,4,4,4,5,3,6,5,1,7,1,4,7,5,9,9,5,7,5,CA / Accounting
785,4,4,3,5,4,4,7,7,5,4,5,7,7,8,8,9,7,8,5,4,9,4,8,1,4,6,6,6,9,8,10,9,Business / Management
786,2,1,1,6,4,2,5,4,7,7,4,1,4,4,8,4,9,6,6,5,5,2,3,6,4,4,7,5,6,7,9,10,Journalism / Media
787,1,3,1,6,3,3,6,1,2,9,5,5,4,8,8,4,8,7,7,5,4,6,2,5,3,2,6,6,7,3,7,10,Psychology
788,6,2,7,9,3,2,1,3,2,6,6,5,6,5,4,5,3,6,5,2,2,7,1,3,1,1,3,9,4,3,7,5,Pharmacy
789,4,4,4,8,3,1,6,5,4,4,7,5,7,10,5,6,7,4,5,4,4,5,4,4,3,1,5,7,6,1,6,6,Dentist
790,8,5,2,3,7,3,6,7,6,10,6,8,5,7,10,10,10,8,6,8,9,5,10,5,5,6,8,10,10,10,10,10,Business / Management
791,9,5,6,2,9,9,8,6,2,6,10,9,3,10,8,9,5,6,9,4,7,2,10,7,4,9,5,7,10,8,7,7,Finance / Banking
792,6,4,6,5,7,1,5,2,8,6,7,7,7,7,8,6,6,6,8,6,5,4,4,3,4,6,10,9,6,3,8,8,Teaching / Professor
793,2,2,5,8,5,1,3,5,4,6,7,3,10,6,9,7,6,9,6,4,4,10,2,3,5,4,6,7,9,6,8,8,MBBS / Doctor
794,2,3,1,4,4,3,5,4,8,3,9,5,4,9,10,6,5,5,8,7,8,3,5,10,5,10,7,6,5,6,5,9,Law
795,6,4,4,1,6,8,10,7,6,5,5,9,3,9,8,5,6,4,4,7,6,2,9,5,6,6,5,4,9,7,9,6,Finance / Banking
796,2,6,8,7,6,2,5,4,3,5,8,5,7,10,5,4,7,6,9,3,3,9,3,4,5,5,3,10,8,3,8,5,Pharmacy
